"Fondsposition per,""19.Juli2024"""
 
Emittententicker,Name,Sektor,Anlageklasse,Marktwert,Gewichtung (%),Nominalwert,Nominale,Kurs,Standort,Börse,Marktwährung
"2330,""TAIWAN SEMICONDUCTOR MANUFACTURING"",""IT"",""Aktien"",""1.786.340.449,59"",""8,13"",""1.786.340.449,59"",""60.254.000,00"",""29,65"",""Taiwan"",""Taiwan Stock Exchange"",""TWD"""
"700,""TENCENT HOLDINGS LTD"",""Kommunikation"",""Aktien"",""753.958.924,07"",""3,43"",""753.958.924,07"",""16.178.840,00"",""46,60"",""China"",""Hong Kong Exchanges And Clearing Ltd"",""HKD"""
"005930,""SAMSUNG ELECTRONICS LTD"",""IT"",""Aktien"",""710.814.024,81"",""3,24"",""710.814.024,81"",""11.679.584,00"",""60,86"",""Korea"",""Korea Exchange (Stock Market)"",""KRW"""
"9988,""ALIBABA GROUP HOLDING LTD"",""Zyklische Konsumgüter "",""Aktien"",""359.581.408,34"",""1,64"",""359.581.408,34"",""38.057.648,00"",""9,45"",""China"",""Hong Kong Exchanges And Clearing Ltd"",""HKD"""
"RELIANCE,""RELIANCE INDUSTRIES LTD"",""Energie"",""Aktien"",""270.364.433,07"",""1,23"",""270.364.433,07"",""7.272.406,00"",""37,18"",""Indien"",""National Stock Exchange Of India"",""INR"""
"000660,""SK HYNIX INC"",""IT"",""Aktien"",""200.441.859,32"",""0,91"",""200.441.859,32"",""1.326.839,00"",""151,07"",""Korea"",""Korea Exchange (Stock Market)"",""KRW"""
"PDD,""PDD HOLDINGS ADS INC"",""Zyklische Konsumgüter "",""Aktien"",""194.761.114,16"",""0,89"",""194.761.114,16"",""1.463.929,00"",""133,04"",""China"",""NASDAQ"",""USD"""
"ICICIBC,""ICICI BANK LTD"",""Financials"",""Aktien"",""191.188.974,72"",""0,87"",""191.188.974,72"",""12.810.113,00"",""14,92"",""Indien"",""National Stock Exchange Of India"",""INR"""
"2317,""HON HAI PRECISION INDUSTRY LTD"",""IT"",""Aktien"",""189.485.682,29"",""0,86"",""189.485.682,29"",""30.390.624,00"",""6,24"",""Taiwan"",""Taiwan Stock Exchange"",""TWD"""
"3690,""MEITUAN"",""Zyklische Konsumgüter "",""Aktien"",""187.114.774,87"",""0,85"",""187.114.774,87"",""12.438.594,00"",""15,04"",""China"",""Hong Kong Exchanges And Clearing Ltd"",""HKD"""
"INFY,""INFOSYS LTD"",""IT"",""Aktien"",""175.128.090,98"",""0,80"",""175.128.090,98"",""8.171.814,00"",""21,43"",""Indien"",""National Stock Exchange Of India"",""INR"""
"939,""CHINA CONSTRUCTION BANK CORP H"",""Financials"",""Aktien"",""160.446.801,26"",""0,73"",""160.446.801,26"",""234.688.000,00"",""0,68"",""China"",""Hong Kong Exchanges And Clearing Ltd"",""HKD"""
"2454,""MEDIATEK INC"",""IT"",""Aktien"",""144.644.772,83"",""0,66"",""144.644.772,83"",""3.756.000,00"",""38,51"",""Taiwan"",""Taiwan Stock Exchange"",""TWD"""
"HDFCB,""HDFC BANK LTD"",""Financials"",""Aktien"",""132.251.919,60"",""0,60"",""132.251.919,60"",""6.883.921,00"",""19,21"",""Indien"",""National Stock Exchange Of India"",""INR"""
