Fondsposition per,"19.Juli2024"
 
Emittententicker,Name,Sektor,Anlageklasse,Marktwert,Gewichtung (%),Nominalwert,Nominale,Kurs,Standort,Börse,Marktwährung
"BLD","TOPBUILD CORP","Zyklische Konsumgüter ","Aktien","7.439.814,00","0,19","7.439.814,00","16.616,00","447,75","Vereinigte Staaten","New York Stock Exchange Inc.","USD"
"RGA","REINSURANCE GROUP OF AMERICA INC","Financials","Aktien","7.189.446,00","0,18","7.189.446,00","33.690,00","213,40","Vereinigte Staaten","New York Stock Exchange Inc.","USD"
"TOL","TOLL BROTHERS INC","Zyklische Konsumgüter ","Aktien","7.155.004,50","0,18","7.155.004,50","54.390,00","131,55","Vereinigte Staaten","New York Stock Exchange Inc.","USD"
"CASY","CASEYS GENERAL STORES INC","Nichtzyklische Konsumgüter","Aktien","7.087.799,70","0,18","7.087.799,70","18.818,00","376,65","Vereinigte Staaten","NASDAQ","USD"
"XPO","XPO INC","Industrie","Aktien","6.832.030,60","0,17","6.832.030,60","60.514,00","112,90","Vereinigte Staaten","New York Stock Exchange Inc.","USD"
"SAIA","SAIA INC","Industrie","Aktien","6.811.863,19","0,17","6.811.863,19","14.039,00","485,21","Vereinigte Staaten","NASDAQ","USD"
"CVNA","CARVANA CLASS A","Zyklische Konsumgüter ","Aktien","6.697.309,64","0,17","6.697.309,64","51.494,00","130,06","Vereinigte Staaten","New York Stock Exchange Inc.","USD"
"FLEX","FLEX LTD","IT","Aktien","6.507.864,00","0,16","6.507.864,00","224.100,00","29,04","Vereinigte Staaten","NASDAQ","USD"
"IBKR","INTERACTIVE BROKERS GROUP INC CLAS","Financials","Aktien","6.426.904,85","0,16","6.426.904,85","53.269,00","120,65","Vereinigte Staaten","NASDAQ","USD"
"NTRA","NATERA INC","Gesundheitsversorgung","Aktien","6.417.830,86","0,16","6.417.830,86","60.557,00","105,98","Vereinigte Staaten","NASDAQ","USD"
"SRPT","SAREPTA THERAPEUTICS INC","Gesundheitsversorgung","Aktien","6.389.366,80","0,16","6.389.366,80","43.880,00","145,61","Vereinigte Staaten","NASDAQ","USD"
"NVT","NVENT ELECTRIC PLC","Industrie","Aktien","6.382.166,19","0,16","6.382.166,19","85.403,00","74,73","Vereinigte Staaten","New York Stock Exchange Inc.","USD"
"WMS","ADVANCED DRAINAGE SYSTEMS INC","Industrie","Aktien","6.232.880,10","0,16","6.232.880,10","37.410,00","166,61","Vereinigte Staaten","New York Stock Exchange Inc.","USD"
"FTI","TECHNIPFMC PLC","Energie","Aktien","6.165.328,55","0,15","6.165.328,55","219.017,00","28,15","Vereinigte Staaten","New York Stock Exchange Inc.","USD"
"USFD","US FOODS HOLDING CORP","Nichtzyklische Konsumgüter","Aktien","6.164.737,92","0,15","6.164.737,92","118.008,00","52,24","Vereinigte Staaten","New York Stock Exchange Inc.","USD"
"EUR","EUR CASH","Cash und/oder Derivate","Geldmarkt","6.139.413,52","0,15","6.139.413,52","5.637.662,00","108,90","Europäische Union","-","EUR"
"THC","TENET HEALTHCARE CORP","Gesundheitsversorgung","Aktien","6.122.557,07","0,15","6.122.557,07","45.941,00","133,27","Vereinigte Staaten","New York Stock Exchange Inc.","USD"
"ITT","ITT INC","Industrie","Aktien","6.097.579,60","0,15","6.097.579,60","44.443,00","137,20","Vereinigte Staaten","New York Stock Exchange Inc.","USD"
"RNR","RENAISSANCERE HOLDING LTD","Financials","Aktien","6.068.631,10","0,15","6.068.631,10","26.894,00","225,65","Vereinigte Staaten","New York Stock Exchange Inc.","USD"
"NTNX","NUTANIX INC CLASS A","IT","Aktien","6.050.782,50","0,15","6.050.782,50","125.275,00","48,30","Vereinigte Staaten","NASDAQ","USD"
"BJ","BJS WHOLESALE CLUB HOLDINGS INC","Nichtzyklische Konsumgüter","Aktien","6.001.128,32","0,15","6.001.128,32","67.232,00","89,26","Vereinigte Staaten","New York Stock Exchange Inc.","USD"
"CLH","CLEAN HARBORS INC","Industrie","Aktien","5.931.000,12","0,15","5.931.000,12","26.044,00","227,73","Vereinigte Staaten","New York Stock Exchange Inc.","USD"
"CW","CURTISS WRIGHT CORP","Industrie","Aktien","5.911.202,48","0,15","5.911.202,48","21.337,00","277,04","Vereinigte Staaten","New York Stock Exchange Inc.","USD"
"GWRE","GUIDEWIRE SOFTWARE INC","IT","Aktien","5.903.759,80","0,15","5.903.759,80","41.705,00","141,56","Vereinigte Staaten","New York Stock Exchange Inc.","USD"
"EWBC","EAST WEST BANCORP INC","Financials","Aktien","5.854.219,92","0,15","5.854.219,92","73.251,00","79,92","Vereinigte Staaten","NASDAQ","USD"
